package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
igraph,2.2.1,2.2.1,C:/Users/echang/AppData/Local/R/win-library/4.5/igraph,C:/Users/echang/AppData/Local/R/win-library/4.5/igraph,FALSE,FALSE,2025-10-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
ini,0.3.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/ini,NA,FALSE,FALSE,2018-05-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
inline,0.3.21,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/inline,NA,FALSE,FALSE,2025-01-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
isoband,0.2.7,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/isoband,NA,FALSE,FALSE,2022-12-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
janeaustenr,1.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/janeaustenr,NA,FALSE,FALSE,2022-08-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
janitor,2.2.1,2.2.1,C:/Users/echang/AppData/Local/R/win-library/4.5/janitor,C:/Users/echang/AppData/Local/R/win-library/4.5/janitor,FALSE,FALSE,2024-12-22,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
jquerylib,0.1.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/jquerylib,NA,FALSE,FALSE,2021-04-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
jsonify,1.2.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/jsonify,NA,FALSE,FALSE,2025-11-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
jsonlite,2.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/jsonlite,NA,FALSE,FALSE,2025-03-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
KernSmooth,2.23-26,NA,C:/Program Files/R/R-4.5.1/library/KernSmooth,NA,FALSE,FALSE,2025-01-01,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
knitr,1.50,1.50,C:/Users/echang/AppData/Local/R/win-library/4.5/knitr,C:/Users/echang/AppData/Local/R/win-library/4.5/knitr,FALSE,FALSE,2025-03-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
labeling,0.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/labeling,NA,FALSE,FALSE,2023-08-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
later,1.4.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/later,NA,FALSE,FALSE,2025-08-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lattice,0.22-7,0.22-7,C:/Program Files/R/R-4.5.1/library/lattice,C:/Program Files/R/R-4.5.1/library/lattice,FALSE,FALSE,2025-04-02,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
lazyeval,0.2.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/lazyeval,NA,FALSE,FALSE,2019-03-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leafem,0.2.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leafem,NA,FALSE,FALSE,2025-08-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leafgl,0.2.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leafgl,NA,FALSE,FALSE,2024-11-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leaflegend,1.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leaflegend,NA,FALSE,FALSE,2024-05-09,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leaflet,2.2.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leaflet,NA,FALSE,FALSE,2025-09-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leaflet.providers,2.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leaflet.providers,NA,FALSE,FALSE,2023-10-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leafsync,0.1.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/leafsync,NA,FALSE,FALSE,2019-03-05,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
leaps,3.2,3.2,C:/Users/echang/AppData/Local/R/win-library/4.5/leaps,C:/Users/echang/AppData/Local/R/win-library/4.5/leaps,FALSE,FALSE,2024-06-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lifecycle,1.0.4,1.0.4,C:/Users/echang/AppData/Local/R/win-library/4.5/lifecycle,C:/Users/echang/AppData/Local/R/win-library/4.5/lifecycle,FALSE,FALSE,2023-11-07,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
litedown,0.8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/litedown,NA,FALSE,FALSE,2025-11-02,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lme4,1.1-38,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/lme4,NA,FALSE,FALSE,2025-12-02,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lmtest,0.9-40,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/lmtest,NA,FALSE,FALSE,2022-03-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lobstr,1.1.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/lobstr,NA,FALSE,FALSE,2025-11-14,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
logger,0.4.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/logger,NA,FALSE,FALSE,2025-09-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
loo,2.8.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/loo,NA,FALSE,FALSE,2024-07-03,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lubridate,1.9.4,1.9.4,C:/Users/echang/AppData/Local/R/win-library/4.5/lubridate,C:/Users/echang/AppData/Local/R/win-library/4.5/lubridate,FALSE,FALSE,2024-12-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
lwgeom,0.2-14,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/lwgeom,NA,FALSE,FALSE,2024-02-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
magrittr,2.0.4,2.0.4,C:/Users/echang/AppData/Local/R/win-library/4.5/magrittr,C:/Users/echang/AppData/Local/R/win-library/4.5/magrittr,FALSE,FALSE,2025-09-12,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
maptiles,0.10.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/maptiles,NA,FALSE,FALSE,2025-05-07,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
markdown,2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/markdown,NA,FALSE,FALSE,2025-03-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
MASS,7.3-65,7.3-65,C:/Program Files/R/R-4.5.1/library/MASS,C:/Program Files/R/R-4.5.1/library/MASS,FALSE,FALSE,2025-02-28,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
Matrix,1.7-3,NA,C:/Program Files/R/R-4.5.1/library/Matrix,NA,FALSE,FALSE,2025-03-11,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
MatrixModels,0.5-4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/MatrixModels,NA,FALSE,FALSE,2025-03-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
matrixStats,1.5.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/matrixStats,NA,FALSE,FALSE,2025-01-07,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
memoise,2.0.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/memoise,NA,FALSE,FALSE,2021-11-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
methods,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/methods,C:/Program Files/R/R-4.5.1/library/methods,TRUE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
mgcv,1.9-3,NA,C:/Program Files/R/R-4.5.1/library/mgcv,NA,FALSE,FALSE,2025-04-04,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
microbenchmark,1.5.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/microbenchmark,NA,FALSE,FALSE,2024-09-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
mime,0.13,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/mime,NA,FALSE,FALSE,2025-03-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
miniUI,0.1.2,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/miniUI,NA,FALSE,FALSE,2025-04-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
minqa,1.2.8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/minqa,NA,FALSE,FALSE,2024-08-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
modelr,0.1.11,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/modelr,NA,FALSE,FALSE,2023-03-22,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
multcompView,0.1-10,0.1-10,C:/Users/echang/AppData/Local/R/win-library/4.5/multcompView,C:/Users/echang/AppData/Local/R/win-library/4.5/multcompView,FALSE,FALSE,2024-03-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
