id,name_type,name,name_bi
Dasyornis broadbenti,syn_name,Sphenura broadbenti,Sphenura broadbenti
Dendrocygna eytoni,syn_name,Leptotarsis eytoni,Leptotarsis eytoni
Diomedea antipodensis,syn_name,Diomedea exulans antipodensis,Diomedea exulans
Diomedea epomophora,syn_name,Diomedea epomophora epomophora,Diomedea epomophora
Diomedea exulans,syn_name,Diomedea exulans exulans,Diomedea exulans
Diomedea sanfordi,syn_name,Diomedea epomophora sanfordi,Diomedea epomophora
Dromaius novaehollandiae,syn_name,Dromaius ater,Dromaius ater
Dromaius novaehollandiae,syn_name,Dromaius novaehollandiae rothschildi,Dromaius novaehollandiae
Egretta garzetta,syn_name,Ardea garzetta,Ardea garzetta
Egretta novaehollandiae,syn_name,Ardea novaehollandiae,Ardea novaehollandiae
Egretta novaehollandiae,syn_name,Egretta novaehollandiae parryi,Egretta novaehollandiae
Egretta novaehollandiae,syn_name,Notophoyx novaehollandiae parryi,Notophoyx novaehollandiae
Egretta novaehollandiae,syn_name,Egretta novaehollandiae novaehollandiae,Egretta novaehollandiae
Egretta picata,syn_name,Ardea picata,Ardea picata
Egretta sacra,syn_name,Ardea sacra,Ardea sacra
Elanus axillaris,syn_name,Elanus notatus,Elanus notatus
Elanus axillaris,syn_name,Falco axillaris,Falco axillaris
Elseyornis melanops,syn_name,Charadrius melanops,Charadrius melanops
Eolophus roseicapilla,syn_name,Eolephus roseicapillus,Eolephus roseicapillus
Eolophus roseicapilla,syn_name,Eolophus roseicapillus,Eolophus roseicapillus
Eolophus roseicapilla,syn_name,Cacatua roseicapilla,Cacatua roseicapilla
Eolophus roseicapilla,syn_name,Kakatoe roseicapilla,Kakatoe roseicapilla
Ephippiorhynchus asiaticus,syn_name,Xenorhynchus asiaticua,Xenorhynchus asiaticua
Ephippiorhynchus asiaticus,syn_name,Xenorhynchus asiaticus,Xenorhynchus asiaticus
Ephippiorhynchus asiaticus,syn_name,Mycteria asiatica,Mycteria asiatica
Epthianura albifrons,syn_name,Acanthiza albifrons,Acanthiza albifrons
Erythrogonys cinctus,syn_name,Charadrius cinctus,Charadrius cinctus
Esacus magnirostris,syn_name,Burhinus magnirostris,Burhinus magnirostris
Esacus magnirostris,syn_name,Burhinus giganteus,Burhinus giganteus
Esacus magnirostris,syn_name,Oedicnemus magnirostris,Oedicnemus magnirostris
Eudynamys orientalis,syn_name,Cuculus orientalis,Cuculus orientalis
Eudyptes pachyrhynchus,syn_name,Eudyptes pachyrhynchus pachyrhynchus,Eudyptes pachyrhynchus
Eudyptula minor,syn_name,Aptenodytes minor,Aptenodytes minor
Eurostopodus mystacalis,syn_name,Eurostopodus mystacalis mystacalis,Eurostopodus mystacalis
Eurostopodus mystacalis,syn_name,Caprimulgus mystacalis,Caprimulgus mystacalis
Fregetta tropica,syn_name,Thalassidroma tropica,Thalassidroma tropica
Fulmarus glacialoides,syn_name,Procellaria glacialoides,Procellaria glacialoides
